26/02/2019 20:58:42	Infinity Flame Soft	+8801675870047	417-418 (3rd floor), Rongmohol Tower Bondor Bazar, Sylhet	info@infinityflamesoft.com	www.infinityflamesoft.com	https://www.facebook.com/pg/infinity.flame.soft.7		11:00	Software Development & Training	infinity-flame-soft
02/05/2019 16:10:20	R N Tower	01715171755	R N Tower,Chowhatta,Sylhet				Accommodation for corporate office,customer care, showroom, convention ATM booth.		Property Rental & Management	rn-tower
20/05/2019 11:15:06	Fahima Tourism Network	+8801712891967	Raza Mansion Zinda bazar, Sylhet, Bangladesh	mmuktheruddin@gmail.com	www.fahimatourism.com	Muhammad mukther uddin	Package tour	9am - 6pm	Travel	fahima-tourism-network
25/05/2019 08:02:08	Parkway Hospital Patient Assistance Center	01988777733	Manru Shopping City, 4th floor,Chowhatta, Sylhet	sylhet@parkwayhealth.net	www.parkwayhospitals.com		We provide, Health Checkup, Doctor appointment, Hospital appointment, Cost Estimation, Medical Visa, Air ambulance Service 24/7	10am - 6pm	Wellbeing & Beauty	parkway-hospital-patient-assistance-center
09/07/2019 07:00:24	One Stop Solution	+8801711345531	7th floor Sylhet  Millennium, zindabazar	limonsyl@gmail.com	forexnodepositbonus.org	https://www.facebook.com/Forex-No-Deposit-Bonus-878072012554433/	forex training center	10am - 7pm	Money Exchange	one-stop-solution
09/07/2019 16:04:40	Tahmidul Azom Sany	+8801792303227	Physics, SUST 28th batch	tasanyphy01773@gmail.com			Teacher		Tution & Coaching	tahmidul-azom-sany
12/07/2019 21:52:18	Ajkerkagoj24	01711000214	Shahi Eidgah, Sylhet	ajkerkagoj24@gmail.com	http://www.ajkerkagoj24.net	facebook/ajkerkagoj	news portal		News Agency	ajkerkagoj24
21/07/2019 01:11:29	Surge Fly	01798328673	Amborkhana, Sylhet	surgefly@gmail.com	https://www.thesurgefly.com	https://www.facebook.com/surgefly	Digital Marketing, Web Development and Design, Graphics Design, Social Media Marketing, Brand Marketing, Advertising and Marketing	09:00	Marketing	surge-fly
21/07/2019 09:58:08	Dialme	01751744130	27 Kaniz Plaza (1st floor), Zindabazar, Sylhet	dialmexyz@gmail.com	www.dialme.com.bd	https://www.facebook.com/dialmebd	Community Social Service	9am - 7pm	Government Services	dialme
22/07/2019 10:22:31	CubeInBD	+8801722500552	Office no-06, 2nd floor, Nass Shopping Complex, Subhanighat, Sylhet	cubein.eng@gmail.com	https://cubeinbd.com	https://www.facebook.com/Cube.in.engineering/	Architectural Services	9am - 5pm	Architects	cubeinbd
01/08/2019 13:40:12	CCTV Zone Sylhet	01747514243	Housing Estate,Sylhet 3100	md.salimurrahman@yahoo.com			CC Camera, IP Camera, Wi-Fi Camera, Finger printer	8am - 10pm	Security service	cctv-zone-sylhet
08/10/2019 11:16:37	Sylhet Today		Zindabazar, Sylhet	info@sylhettoday.com	sylhettoday.com	twitter.com/sylhettoday	News Service	24 hrs	News Agency	sylhettoday
17/10/2019 06:39:54	Sylpoint & Co	01712660666	Lal Dighir Par, Sylhet	admin|@sylpoint.com	www.sylpoint.com	https://www.facebook.com/pg/sylpointstore/about/	grocery home delivery service	09:00	Parcel Delivery	sylpoint
04/11/2019 06:45:35	Prof Dr. Md Shah JML Hossain	01745672262	Lab Aid Ltd Diagnostic, Medical Road, Sylhet				Saturday - Thursday	4pm - 9pm	Doctors	prof-dr-md-shah-jml-hossain
10/11/2019 12:55:21	Friends Computer 2	01670851511	Shop21Galleria Shopping Complex, Zindabazar, Sylhet	fcshop13@gmail.com	http://www.friendscomputerbd.com/	https://www.facebook.com/friendscomputer/	Computer & Laptop Store	10am - 10pm	Computer Stores	friends-computer-2
12/01/2020 08:22:44	M/S Tuhin Travels	01713816777	301 Surma Tower, VIP Road, Taltola	tuhinoverseas@gmail.com	n/a	n/a	gulf visa prossing	10am - 4pm	Travel	tuhin-travels
14/01/2020 05:54:36	M/S Babor Travels	01711336758	Station Road Sylhet	babortravels@hotmail.com	NULL	NULL	International tickets, Hajj and Umrah Agent	10am - 5.30pm	Travel	babor-travels
09/02/2020 15:20:04	Kazi Asparagus Food Island	+880 1712317111	684 East Zindabazar, Sylhet 3100	null	null	https://www.facebook.com/pages/category/Cafeteria/Kazi-Asparagus-Food-Island-Sylhet-405050886767327/	Fast Food Restaurant	11:00am - 23:00pm	Restaurants	kazi-asparagus-food-island
20/04/2020 15:26:21	Marina scientific store's	01818887051	32, idris market, zindabazar, sylhet	Ah.mithu87@gmail.com	null		Surgical, scientific, medical items retailer and supplier	10am - 9pm	Uncategorised	science-store
09/08/2020	Contractor Muslim Uddin	01726002667	Shajalal Upashahar	null	null	null	Property developer		Property Development	contractor-muslim-uddin
